season,matchday,place,team,wins,daws,loses,goals for,goals against,points
2018,36,1,BSC Young Boys,29,4,3,99,36,91
2018,36,2,FC Basel,20,11,5,71,46,71
2018,36,3,FC Lugano,10,16,10,50,49,46
2018,36,4,FC Thun,12,10,14,57,58,46
2018,36,5,FC Luzern,14,4,18,56,61,46
2018,36,6,FC St. Gallen,13,7,16,49,58,46
2018,36,7,FC Zürich,11,11,14,43,52,44
2018,36,8,FC Sion,12,7,17,50,55,43
2018,36,9,Neuchâtel Xamax FC,9,10,17,44,65,37
2018,36,10,Grasshopper Club Zürich,5,10,21,32,71,25
2018,1,1,BSC Young Boys,1,0,0,2,0,3
2018,1,2,Neuchâtel Xamax FC,1,0,0,2,0,3
2018,1,3,FC Lugano,1,0,0,2,1,3
2018,1,4,FC St. Gallen,1,0,0,2,1,3
2018,1,5,FC Zürich,1,0,0,2,1,3
2018,1,6,FC Basel,0,0,1,1,2,0
2018,1,7,FC Sion,0,0,1,1,2,0
2018,1,8,FC Thun,0,0,1,1,2,0
2018,1,9,FC Luzern,0,0,1,0,2,0
2018,1,10,Grasshopper Club Zürich,0,0,1,0,2,0
2018,2,1,BSC Young Boys,2,0,0,4,0,6
2018,2,2,FC Zürich,2,0,0,4,1,6
2018,2,3,Neuchâtel Xamax FC,1,1,0,3,1,4
2018,2,4,FC Sion,1,0,1,5,4,3
2018,2,5,FC Thun,1,0,1,3,3,3
2018,2,6,FC St. Gallen,1,0,1,4,5,3
2018,2,7,FC Lugano,1,0,1,2,3,3
2018,2,8,FC Basel,0,1,1,2,3,1
2018,2,9,FC Luzern,0,0,2,1,4,0
2018,2,10,Grasshopper Club Zürich,0,0,2,0,4,0
2018,3,1,BSC Young Boys,3,0,0,8,0,9
2018,3,2,FC Sion,2,0,1,8,4,6
2018,3,3,FC St. Gallen,2,0,1,7,7,6
2018,3,4,FC Zürich,2,0,1,4,5,6
2018,3,5,FC Basel,1,1,1,6,5,4
2018,3,6,Neuchâtel Xamax FC,1,1,1,3,4,4
2018,3,7,FC Luzern,1,0,2,5,6,3
2018,3,8,FC Thun,1,0,2,5,6,3
2018,3,9,FC Lugano,1,0,2,4,7,3
2018,3,10,Grasshopper Club Zürich,0,0,3,2,8,0
2018,4,1,BSC Young Boys,4,0,0,11,2,12
2018,4,2,FC Basel,2,1,1,9,7,7
2018,4,3,FC St. Gallen,2,1,1,7,7,7
2018,4,4,FC Zürich,2,1,1,4,5,7
2018,4,5,FC Sion,2,0,2,10,7,6
2018,4,6,FC Thun,2,0,2,10,7,6
2018,4,7,FC Lugano,1,1,2,6,9,4
2018,4,8,Neuchâtel Xamax FC,1,1,2,4,9,4
2018,4,9,FC Luzern,1,0,3,7,9,3
2018,4,10,Grasshopper Club Zürich,0,1,3,4,10,1
2018,5,1,BSC Young Boys,5,0,0,16,4,15
2018,5,2,FC Basel,2,2,1,10,8,8
2018,5,3,FC Zürich,2,2,1,5,6,8
2018,5,4,FC Thun,2,1,2,11,8,7
2018,5,5,FC St. Gallen,2,1,2,7,8,7
2018,5,6,FC Sion,2,0,3,11,9,6
2018,5,7,FC Luzern,2,0,3,8,9,6
2018,5,8,FC Lugano,1,2,2,7,10,5
2018,5,9,Grasshopper Club Zürich,1,1,3,6,11,4
2018,5,10,Neuchâtel Xamax FC,1,1,3,6,14,4
