attendance,matchday,season,team_distance,points_home,points_away,position_home,position_away,last_season_position_home,last_season_position_away,form_home,form_away,rain,sun,temp_avg,weekday_Donnerstag,weekday_Freitag,weekday_Mittwoch,weekday_Montag,weekday_Samstag,weekday_Sonntag,time_evening,time_noon,hometeam_BSC Young Boys,hometeam_FC Aarau,hometeam_FC Basel,hometeam_FC Lausanne-Sport,hometeam_FC Lugano,hometeam_FC Luzern,hometeam_FC Schaffhausen,hometeam_FC Sion,hometeam_FC St. Gallen,hometeam_FC Thun,hometeam_FC Vaduz,hometeam_FC Wil 1900,hometeam_FC Zürich,hometeam_Grasshopper Club Zürich,hometeam_Neuchâtel Xamax FC,hometeam_Servette Genève,hometeam_Yverdon-Sport FC,awayteam_BSC Young Boys,awayteam_FC Aarau,awayteam_FC Basel,awayteam_FC Lausanne-Sport,awayteam_FC Lugano,awayteam_FC Luzern,awayteam_FC Schaffhausen,awayteam_FC Sion,awayteam_FC St. Gallen,awayteam_FC Thun,awayteam_FC Vaduz,awayteam_FC Wil 1900,awayteam_FC Zürich,awayteam_Grasshopper Club Zürich,awayteam_Neuchâtel Xamax FC,awayteam_Servette Genève,awayteam_Yverdon-Sport FC
7500,25,2003,129637.37093909303,2.0416666666666665,1.75,2,3,4,6,2.2,1.6,2.5,27.0,9.7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11000,17,2003,129637.37093909303,2.125,1.75,2,3,4,6,3.0,1.4,0.0,176.0,5.9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11850,19,2003,68663.3352233927,2.1111111111111107,2.888888888888889,2,1,4,2,2.6,2.6,0.0,19.0,1.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11850,2,2003,68663.3352233927,3.0,3.0,1,3,4,2,3.0,3.0,7.8,666.0,21.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,33,2003,39705.085278840554,2.03125,0.9375,2,9,4,3,2.4,1.8,2.9,0.0,6.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6000,13,2003,39705.085278840554,1.8333333333333333,1.1666666666666667,3,5,4,3,1.4,0.8,1.3,0.0,6.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6900,23,2003,67038.24987274056,2.0454545454545454,1.0454545454545454,2,7,4,9,1.6,0.4,0.7,35.0,5.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5250,15,2003,67038.24987274056,2.0,1.4285714285714286,3,4,4,9,2.0,1.4,7.7,0.0,4.2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500,26,2003,25203.66205534426,2.08,1.16,2,6,4,7,2.2,0.4,0.0,601.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8800,7,2003,25203.66205534426,2.0,1.0,2,8,4,7,1.8,1.0,0.0,684.0,20.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6900,21,2003,95455.45065631402,2.05,1.0,2,7,4,5,2.0,1.8,0.0,155.0,-2.6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8000,3,2003,95455.45065631402,1.5,0.0,5,8,4,5,1.5,0.0,0.2,305.0,22.6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7100,28,2003,95455.45065631402,1.9629629629629632,1.2592592592592593,2,5,4,1,1.6,0.8,0.7,193.0,3.8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8500,9,2003,95455.45065631402,1.875,1.25,2,6,4,1,1.8,1.4,0.0,715.0,12.3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6500,31,2003,134409.96722713686,1.9666666666666663,0.8666666666666667,2,10,4,8,1.4,0.2,0.0,302.0,10.5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8000,5,2003,134409.96722713686,2.25,0.25,3,10,4,8,2.25,0.25,0.0,717.0,25.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7200,35,2003,155542.0823957298,2.0294117647058822,1.3823529411764706,2,4,4,10,2.6,2.2,0.0,715.0,12.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6800,10,2003,155542.0823957298,2.0,1.0,2,7,4,10,1.8,1.4,0.0,563.0,12.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17240,30,2003,129637.37093909303,1.6551724137931034,1.9310344827586208,3,2,6,4,1.2,1.4,4.0,232.0,10.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8250,8,2003,129637.37093909303,1.5714285714285714,2.142857142857143,4,2,6,4,1.0,2.4,0.0,493.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18683,27,2003,186561.69228434862,1.7307692307692308,2.5,3,1,6,2,1.6,1.2,4.4,90.0,11.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18825,16,2003,186561.69228434862,1.8666666666666667,2.8666666666666667,3,1,6,2,2.0,2.6,0.0,424.0,9.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7150,24,2003,106202.00947722222,1.7826086956521738,0.6956521739130435,3,10,6,3,2.0,0.0,0.0,652.0,9.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8263,18,2003,106202.00947722222,1.6470588235294117,0.9411764705882352,3,8,6,3,1.2,0.4,1.1,0.0,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7654,33,2003,196207.8255982671,1.59375,1.0625,3,8,6,9,1.2,1.2,14.8,5.0,7.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7750,13,2003,196207.8255982671,1.8333333333333333,1.5833333333333333,2,4,6,9,2.2,1.4,4.0,60.0,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6345,21,2003,129532.02177454035,1.7,1.35,3,4,6,7,1.2,2.4,0.0,524.0,-0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5072,3,2003,129532.02177454035,3.0,1.0,1,6,6,7,3.0,1.0,0.0,278.0,27.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8652,35,2003,224346.08190917887,1.5294117647058822,1.2941176470588236,3,5,6,5,0.8,1.4,0.0,800.0,14.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7590,11,2003,224346.08190917887,1.8,0.8,3,9,6,5,1.4,1.4,11.3,0.0,14.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8550,26,2003,224346.08190917887,1.68,1.24,3,5,6,1,1.6,1.4,0.0,686.0,4.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10575,14,2003,224346.08190917887,1.9230769230769231,1.0,2,8,6,1,2.2,0.6,0.0,384.0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5860,23,2003,262236.62148906663,1.818181818181818,0.9545454545454546,3,9,6,8,2.4,1.0,0.7,24.0,2.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4916,1,2003,262236.62148906663,0.0,0.0,2,9,6,8,0.0,0.0,0.0,405.0,25.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6900,19,2003,281364.1512417671,1.7222222222222223,1.1111111111111112,3,6,6,10,1.2,0.8,0.0,0.0,3.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7354,6,2003,281364.1512417671,2.2,0.6,3,8,6,10,2.2,0.6,26.1,447.0,22.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29541,36,2003,68663.3352233927,2.342857142857143,2.057142857142857,1,2,2,4,1.6,2.6,4.0,25.0,9.1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30760,11,2003,68663.3352233927,3.0,1.9,1,2,2,4,3.0,1.4,7.8,10.0,14.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26649,28,2003,186561.69228434862,2.5185185185185186,1.6666666666666667,1,3,2,6,1.6,1.0,1.6,107.0,5.6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
