team, x_coordinates, y_coordinates,weather_station
AC Bellinzona,722340,116829,OTL
BSC Young Boys,600670,199655,BER
FC Aarau,645731,249290,SMA
FC Basel,611220,267503,BAS
FC Lausanne-Sport,538291,152330,GVE
FC Lugano,717505,96295,LUG
FC Luzern,665892,211591,LUZ
FC Schaffhausen,689722,283562,SMA
FC Sion,593997,120194,SIO
FC St. Gallen,746284,254335,STG
FC Thun,614620,178664,BER
FC Vaduz,758008,223061,RAG
FC Wil 1900,721481,258568,SMA
FC Zürich,683354,247353,SMA
Grasshopper Club Zürich,683354,247353,SMA
Neuchâtel Xamax FC,561256,204454,NEU
Servette Genève,500532,117325,GVE
Yverdon-Sport FC,539009,181170,PAY
