weekday,date,time,stadium,attandence,hometeam,awayteam,matchday,result
Sonntag, 21. März 2004,14:30,Stadion Wankdorf,7500,BSC Young Boys,Servette Genève,25,4:2
Sonntag, 23. November 2003,16:15,Stadion Wankdorf,11000,BSC Young Boys,Servette Genève,17,3:0
Sonntag, 15. Februar 2004,16:00,Stadion Wankdorf,11850,BSC Young Boys,FC Basel,19,0:1
Dienstag, 22. Juli 2003,19:30,Stadion Wankdorf,11850,BSC Young Boys,FC Basel,2,2:3
Sonntag, 9. Mai 2004,16:15,Stadion Wankdorf,5000,BSC Young Boys,Neuchâtel Xamax FC,33,3:1
Sonntag, 5. Oktober 2003,16:15,Stadion Wankdorf,6000,BSC Young Boys,Neuchâtel Xamax FC,13,2:1
Sonntag, 14. März 2004,14:30,Stadion Wankdorf,6900,BSC Young Boys,FC Aarau,23,2:2
Mittwoch, 29. Oktober 2003,19:30,Stadion Wankdorf,5250,BSC Young Boys,FC Aarau,15,5:3
Sonntag, 28. März 2004,16:15,Stadion Wankdorf,8500,BSC Young Boys,FC Thun,26,0:0
Freitag, 22. August 2003,19:30,Stadion Wankdorf,8800,BSC Young Boys,FC Thun,7,2:1
Sonntag, 29. Februar 2004,14:30,Stadion Wankdorf,6900,BSC Young Boys,FC Zürich,21,2:2
Samstag, 26. Juli 2003,19:30,Stadion Wankdorf,8000,BSC Young Boys,FC Zürich,3,2:1
Mittwoch, 7. April 2004,19:30,Stadion Wankdorf,7100,BSC Young Boys,Grasshopper Club Zürich,28,1:0
Mittwoch, 3. September 2003,19:30,Stadion Wankdorf,8500,BSC Young Boys,Grasshopper Club Zürich,9,4:0
Samstag, 24. April 2004,19:30,Stadion Wankdorf,6500,BSC Young Boys,FC Wil 1900,31,5:1
Samstag, 9. August 2003,19:30,Stadion Wankdorf,8000,BSC Young Boys,FC Wil 1900,5,2:1
Samstag, 15. Mai 2004,17:30,Stadion Wankdorf,7200,BSC Young Boys,FC St. Gallen,35,2:1
Sonntag, 14. September 2003,16:15,Stadion Wankdorf,6800,BSC Young Boys,FC St. Gallen,10,0:0
Sonntag, 18. April 2004,14:30,Stade de Genève,17240,Servette Genève,BSC Young Boys,30,0:2
Sonntag, 31. August 2003,16:15,Stade de Genève,8250,Servette Genève,BSC Young Boys,8,4:1
Sonntag, 4. April 2004,14:30,Stade de Genève,18683,Servette Genève,FC Basel,27,1:4
Sonntag, 2. November 2003,14:30,Stade de Genève,18825,Servette Genève,FC Basel,16,1:2
Mittwoch, 17. März 2004,19:30,Stade de Genève,7150,Servette Genève,Neuchâtel Xamax FC,24,2:2
Sonntag, 30. November 2003,16:15,Stade de Genève,8263,Servette Genève,Neuchâtel Xamax FC,18,1:0
Samstag, 8. Mai 2004,19:30,Stade de Genève,7654,Servette Genève,FC Aarau,33,1:1
Sonntag, 5. Oktober 2003,16:15,Stade de Genève,7750,Servette Genève,FC Aarau,13,3:1
Samstag, 28. Februar 2004,19:30,Stade de Genève,6345,Servette Genève,FC Thun,21,3:1
Samstag, 26. Juli 2003,19:30,Stade de Genève,5072,Servette Genève,FC Thun,3,5:1
Samstag, 15. Mai 2004,19:30,Stade de Genève,8652,Servette Genève,FC Zürich,35,2:3
Sonntag, 28. September 2003,16:15,Stade de Genève,7590,Servette Genève,FC Zürich,11,3:1
Sonntag, 28. März 2004,14:30,Stade de Genève,8550,Servette Genève,Grasshopper Club Zürich,26,3:0
Sonntag, 26. Oktober 2003,16:15,Stade de Genève,10575,Servette Genève,Grasshopper Club Zürich,14,3:2
Freitag, 12. März 2004,20:00,Stade de Genève,5860,Servette Genève,FC Wil 1900,23,1:1
Mittwoch, 16. Juli 2003,19:30,Stade de Genève,4916,Servette Genève,FC Wil 1900,1,3:1
Sonntag, 15. Februar 2004,14:30,Stade de Genève,6900,Servette Genève,FC St. Gallen,19,3:1
Samstag, 16. August 2003,19:30,Stade de Genève,7354,Servette Genève,FC St. Gallen,6,1:3
Samstag, 22. Mai 2004,20:15,St. Jakob-Park,29541,FC Basel,BSC Young Boys,36,2:1
Sonntag, 28. September 2003,16:15,St. Jakob-Park,30760,FC Basel,BSC Young Boys,11,2:0
Donnerstag, 8. April 2004,19:30,St. Jakob-Park,26649,FC Basel,Servette Genève,28,1:0
Sonntag, 24. August 2003,16:15,St. Jakob-Park,29821,FC Basel,Servette Genève,7,6:0
Samstag, 28. Februar 2004,19:30,St. Jakob-Park,21803,FC Basel,Neuchâtel Xamax FC,21,6:0
Samstag, 26. Juli 2003,19:30,St. Jakob-Park,29055,FC Basel,Neuchâtel Xamax FC,3,4:2
Samstag, 20. März 2004,19:30,St. Jakob-Park,26099,FC Basel,FC Aarau,25,3:1
Samstag, 9. August 2003,19:30,St. Jakob-Park,30341,FC Basel,FC Aarau,5,3:1
Samstag, 13. März 2004,19:30,St. Jakob-Park,23223,FC Basel,FC Thun,23,1:1
Mittwoch, 29. Oktober 2003,19:30,St. Jakob-Park,29029,FC Basel,FC Thun,15,2:0
Sonntag, 25. April 2004,16:15,St. Jakob-Park,27804,FC Basel,FC Zürich,31,1:1
Mittwoch, 16. Juli 2003,19:30,St. Jakob-Park,30561,FC Basel,FC Zürich,1,2:1
Sonntag, 22. Februar 2004,16:00,St. Jakob-Park,26851,FC Basel,Grasshopper Club Zürich,20,2:2
Sonntag, 23. November 2003,16:15,St. Jakob-Park,30800,FC Basel,Grasshopper Club Zürich,17,5:2
Donnerstag, 15. April 2004,19:30,St. Jakob-Park,24515,FC Basel,FC Wil 1900,29,2:0
Sonntag, 5. Oktober 2003,16:15,St. Jakob-Park,29850,FC Basel,FC Wil 1900,13,4:0
Samstag, 8. Mai 2004,19:30,St. Jakob-Park,25403,FC Basel,FC St. Gallen,33,0:0
Mittwoch, 3. September 2003,19:30,St. Jakob-Park,29846,FC Basel,FC St. Gallen,9,4:1
Sonntag, 7. März 2004,15:30,La Maladiere (1924-2004),5800,Neuchâtel Xamax FC,BSC Young Boys,22,0:3
Samstag, 2. August 2003,19:30,La Maladiere (1924-2004),10600,Neuchâtel Xamax FC,BSC Young Boys,4,1:2
Samstag, 24. April 2004,19:30,La Maladiere (1924-2004),7200,Neuchâtel Xamax FC,Servette Genève,31,6:1
Mittwoch, 3. September 2003,19:30,La Maladiere (1924-2004),8000,Neuchâtel Xamax FC,Servette Genève,9,2:3
Mittwoch, 12. Mai 2004,19:30,La Maladiere (1924-2004),8200,Neuchâtel Xamax FC,FC Basel,34,3:1
Donnerstag, 2. Oktober 2003,19:30,La Maladiere (1924-2004),12100,Neuchâtel Xamax FC,FC Basel,12,1:3
Sonntag, 4. April 2004,14:30,La Maladiere (1924-2004),4700,Neuchâtel Xamax FC,FC Aarau,27,4:1
Samstag, 23. August 2003,19:30,La Maladiere (1924-2004),5800,Neuchâtel Xamax FC,FC Aarau,7,0:1
Sonntag, 21. März 2004,14:30,La Maladiere (1924-2004),3900,Neuchâtel Xamax FC,FC Thun,25,1:1
Sonntag, 23. November 2003,16:15,La Maladiere (1924-2004),6400,Neuchâtel Xamax FC,FC Thun,17,0:1
Donnerstag, 15. April 2004,19:30,La Maladiere (1924-2004),5000,Neuchâtel Xamax FC,FC Zürich,29,4:2
Freitag, 8. August 2003,19:30,La Maladiere (1924-2004),8300,Neuchâtel Xamax FC,FC Zürich,5,2:1
Sonntag, 23. Mai 2004,16:15,La Maladiere (1924-2004),5200,Neuchâtel Xamax FC,Grasshopper Club Zürich,36,2:1
Sonntag, 14. September 2003,16:15,La Maladiere (1924-2004),7800,Neuchâtel Xamax FC,Grasshopper Club Zürich,10,3:1
Sonntag, 22. Februar 2004,14:30,La Maladiere (1924-2004),3700,Neuchâtel Xamax FC,FC Wil 1900,20,0:2
Mittwoch, 29. Oktober 2003,19:30,La Maladiere (1924-2004),3000,Neuchâtel Xamax FC,FC Wil 1900,15,0:0
Samstag, 1. Mai 2004,19:30,La Maladiere (1924-2004),7900,Neuchâtel Xamax FC,FC St. Gallen,32,0:1
Samstag, 19. Juli 2003,19:30,La Maladiere (1924-2004),5600,Neuchâtel Xamax FC,FC St. Gallen,2,2:0
Samstag, 1. Mai 2004,19:30,Brügglifeld,5400,FC Aarau,BSC Young Boys,32,0:1
Sonntag, 17. August 2003,16:15,Brügglifeld,7200,FC Aarau,BSC Young Boys,6,3:1
Sonntag, 7. März 2004,15:30,Brügglifeld,4000,FC Aarau,Servette Genève,22,0:1
Samstag, 2. August 2003,19:30,Brügglifeld,6500,FC Aarau,Servette Genève,4,1:1
Sonntag, 18. April 2004,16:15,Brügglifeld,9250,FC Aarau,FC Basel,30,3:0
Sonntag, 26. Oktober 2003,16:15,Brügglifeld,9250,FC Aarau,FC Basel,14,2:2
Donnerstag, 8. April 2004,19:30,Brügglifeld,4300,FC Aarau,Neuchâtel Xamax FC,28,2:0
Sonntag, 2. November 2003,16:15,Brügglifeld,4000,FC Aarau,Neuchâtel Xamax FC,16,1:1
Samstag, 15. Mai 2004,19:30,Brügglifeld,5900,FC Aarau,FC Thun,35,1:2
Sonntag, 14. September 2003,16:15,Brügglifeld,5000,FC Aarau,FC Thun,10,1:2
Sonntag, 15. Februar 2004,14:30,Brügglifeld,5400,FC Aarau,FC Zürich,19,2:4
Samstag, 30. August 2003,19:30,Brügglifeld,5100,FC Aarau,FC Zürich,8,3:3
Mittwoch, 17. März 2004,19:30,Brügglifeld,5000,FC Aarau,Grasshopper Club Zürich,24,2:2
Samstag, 19. Juli 2003,19:30,Brügglifeld,7100,FC Aarau,Grasshopper Club Zürich,2,2:1
Mittwoch, 12. Mai 2004,19:30,Brügglifeld,4100,FC Aarau,FC Wil 1900,34,4:0
Sonntag, 30. November 2003,16:15,Brügglifeld,3500,FC Aarau,FC Wil 1900,18,1:1
Sonntag, 28. März 2004,14:30,Brügglifeld,5200,FC Aarau,FC St. Gallen,26,3:0
Donnerstag, 2. Oktober 2003,19:30,Brügglifeld,4500,FC Aarau,FC St. Gallen,12,3:1
Donnerstag, 15. April 2004,19:30,Lachenstadion,7200,FC Thun,BSC Young Boys,29,3:0
Sonntag, 2. November 2003,16:15,Lachenstadion,8300,FC Thun,BSC Young Boys,16,1:3
Mittwoch, 12. Mai 2004,19:30,Lachenstadion,2550,FC Thun,Servette Genève,34,2:1
Donnerstag, 2. Oktober 2003,19:30,Lachenstadion,3130,FC Thun,Servette Genève,12,1:1
Sonntag, 2. Mai 2004,16:15,Lachenstadion,10055,FC Thun,FC Basel,32,0:2
Samstag, 16. August 2003,19:30,Lachenstadion,8150,FC Thun,FC Basel,6,0:4
Sonntag, 18. April 2004,14:30,Lachenstadion,3800,FC Thun,Neuchâtel Xamax FC,30,2:3
Sonntag, 31. August 2003,16:15,Lachenstadion,3000,FC Thun,Neuchâtel Xamax FC,8,0:0
Sonntag, 22. Februar 2004,14:30,Lachenstadion,3500,FC Thun,FC Aarau,20,6:3
Mittwoch, 16. Juli 2003,19:30,Lachenstadion,3450,FC Thun,FC Aarau,1,1:1
Sonntag, 4. April 2004,14:30,Lachenstadion,3800,FC Thun,FC Zürich,27,2:1
Sonntag, 30. November 2003,16:15,Lachenstadion,3550,FC Thun,FC Zürich,18,2:0
Sonntag, 7. März 2004,15:30,Lachenstadion,4200,FC Thun,Grasshopper Club Zürich,22,1:2
Samstag, 2. August 2003,19:30,Lachenstadion,4871,FC Thun,Grasshopper Club Zürich,4,3:2
Sonntag, 23. Mai 2004,16:15,Lachenstadion,3250,FC Thun,FC Wil 1900,36,2:0
Sonntag, 28. September 2003,16:15,Lachenstadion,1750,FC Thun,FC Wil 1900,11,3:2
Mittwoch, 17. März 2004,19:30,Lachenstadion,3400,FC Thun,FC St. Gallen,24,2:3
Sonntag, 26. Oktober 2003,16:15,Lachenstadion,3480,FC Thun,FC St. Gallen,14,1:1
Mittwoch, 12. Mai 2004,19:30,Letzigrund,5800,FC Zürich,BSC Young Boys,34,2:2
Mittwoch, 15. Oktober 2003,19:30,Letzigrund,5900,FC Zürich,BSC Young Boys,12,0:2
Sonntag, 22. Februar 2004,14:30,Letzigrund,6300,FC Zürich,Servette Genève,20,2:0
Samstag, 19. Juli 2003,19:30,Letzigrund,6800,FC Zürich,Servette Genève,2,0:1
Mittwoch, 17. März 2004,19:30,Letzigrund,16200,FC Zürich,FC Basel,24,1:0
Sonntag, 14. September 2003,16:15,Letzigrund,18200,FC Zürich,FC Basel,10,0:1
Sonntag, 28. März 2004,14:30,Letzigrund,5800,FC Zürich,Neuchâtel Xamax FC,26,1:0
Sonntag, 26. Oktober 2003,16:15,Letzigrund,5400,FC Zürich,Neuchâtel Xamax FC,14,3:1
Sonntag, 23. Mai 2004,16:15,Letzigrund,4900,FC Zürich,FC Aarau,36,4:1
Sonntag, 23. November 2003,16:15,Letzigrund,4700,FC Zürich,FC Aarau,17,4:2
Donnerstag, 8. April 2004,19:30,Letzigrund,5400,FC Zürich,FC Thun,28,0:0
Mittwoch, 3. September 2003,19:30,Letzigrund,3800,FC Zürich,FC Thun,9,4:0
Sonntag, 2. Mai 2004,16:15,Letzigrund,18400,FC Zürich,Grasshopper Club Zürich,32,0:0
Mittwoch, 29. Oktober 2003,19:30,Letzigrund,10400,FC Zürich,Grasshopper Club Zürich,15,0:2
Sonntag, 7. März 2004,15:30,Letzigrund,5100,FC Zürich,FC Wil 1900,22,2:1
Samstag, 23. August 2003,19:30,Letzigrund,4300,FC Zürich,FC Wil 1900,7,3:1
Sonntag, 18. April 2004,14:30,Letzigrund,7200,FC Zürich,FC St. Gallen,30,2:2
Samstag, 2. August 2003,19:30,Letzigrund,7400,FC Zürich,FC St. Gallen,4,2:2
Sonntag, 4. April 2004,16:15,Hardturm,6300,Grasshopper Club Zürich,BSC Young Boys,27,4:2
Sonntag, 30. November 2003,16:15,Hardturm,11900,Grasshopper Club Zürich,BSC Young Boys,18,3:3
Donnerstag, 15. April 2004,19:30,Hardturm,3900,Grasshopper Club Zürich,Servette Genève,29,1:5
